TrialID;SensorType;ActivityType;Distance_m;GroundTruth;Sensor_output;StartTime;EndTime;Sensor_Time;Date
85;PIR;Dog_walking;2,00;1;1;14:11:13;14:11:19;14:11:15;05-03-2026
85;mmWave;Dog_walking;2,00;1;0;14:11:13;14:11:19;NA;05-03-2026
86;PIR;Dog_walking;2,00;1;1;14:12:30;14:12:39;14:12:32;05-03-2026
86;mmWave;Dog_walking;2,00;1;1;14:12:30;14:12:39;14:12:34;05-03-2026
87;PIR;Dog_walking;2,00;1;1;14:16:08;14:16:15;14:16:11;05-03-2026
87;mmWave;Dog_walking;2,00;1;0;14:16:08;14:16:15;NA;05-03-2026
88;PIR;Dog_walking;2,00;1;1;14:17:25;14:17:29;14:17:26;05-03-2026
88;mmWave;Dog_walking;2,00;1;1;14:17:25;14:17:29;14:17:26;05-03-2026
89;PIR;Dog_walking;2,00;1;1;14:37:57;14:38:03;14:38:03;05-03-2026
89;mmWave;Dog_walking;2,00;1;1;14:37:57;14:38:03;14:37:58;05-03-2026
90;PIR;Dog_walking;2,00;1;1;14:44:04;14:44:14;14:44:07;05-03-2026
90;mmWave;Dog_walking;2,00;1;1;14:44:04;14:44:14;14:44:06;05-03-2026
91;PIR;Dog_walking;2,00;0;0;14:53:06;14:53:22;NA;05-03-2026
91;mmWave;Dog_walking;2,00;0;0;14:53:06;14:53:22;NA;05-03-2026
92;PIR;Dog_walking;2,00;0;0;14:53:37;14:53:53;NA;05-03-2026
92;mmWave;Dog_walking;2,00;0;0;14:53:37;14:53:53;NA;05-03-2026
93;PIR;Dog_walking;2,00;0;0;14:54:12;14:54:32;NA;05-03-2026
93;mmWave;Dog_walking;2,00;0;0;14:54:12;14:54:32;NA;05-03-2026
94;PIR;Dog_walking;2,00;0;0;14:54:59;14:55:13;NA;05-03-2026
94;mmWave;Dog_walking;2,00;0;0;14:54:59;14:55:13;NA;05-03-2026
95;PIR;Dog_walking;2,00;0;0;14:55:34;14:55:49;NA;05-03-2026
95;mmWave;Dog_walking;2,00;0;0;14:55:34;14:55:49;NA;05-03-2026
96;PIR;Dog_walking;2,00;0;0;14:56:04;14:56:22;NA;05-03-2026
96;mmWave;Dog_walking;2,00;0;0;14:56:04;14:56:22;NA;05-03-2026
97;PIR;Dog_walking;2,00;0;0;14:56:41;14:56:58;NA;05-03-2026
97;mmWave;Dog_walking;2,00;0;0;14:56:41;14:56:58;NA;05-03-2026
98;PIR;Dog_walking;2,00;0;0;14:57:16;14:57:30;NA;05-03-2026
98;mmWave;Dog_walking;2,00;0;0;14:57:16;14:57:30;NA;05-03-2026
99;PIR;Dog_walking;2,00;0;0;14:57:51;14:58:08;NA;05-03-2026
99;mmWave;Dog_walking;2,00;0;0;14:57:51;14:58:08;NA;05-03-2026
100;PIR;Dog_walking;2,00;0;0;14:58:25;14:58:45;NA;05-03-2026
100;mmWave;Dog_walking;2,00;0;0;14:58:25;14:58:45;NA;05-03-2026
101;PIR;Machine;2,00;1;0;11:15:15;11:15:30;NA;12-03-2026
101;mmWave;Machine;2,00;1;0;11:15:15;11:15:30;NA;12-03-2026
102;PIR;Machine;2,00;1;0;11:21:00;11:21:15;NA;12-03-2026
102;mmWave;Machine;2,00;1;0;11:21:00;11:21:15;NA;12-03-2026
103;PIR;Machine;2,00;1;0;11:22:30;11:22:45;NA;12-03-2026
103;mmWave;Machine;2,00;1;0;11:22:30;11:22:45;NA;12-03-2026
104;PIR;Machine;2,00;1;0;11:24:45;11:25:00;NA;12-03-2026
104;mmWave;Machine;2,00;1;0;11:24:45;11:25:00;NA;12-03-2026
105;PIR;Machine;2,00;1;0;11:28:10;11:28:25;NA;12-03-2026
105;mmWave;Machine;2,00;1;0;11:28:10;11:28:25;NA;12-03-2026
106;PIR;Machine;2,00;1;0;11:36:45;11:37:00;NA;12-03-2026
106;mmWave;Machine;2,00;1;1;11:36:45;11:37:00;11:37:02;12-03-2026
107;PIR;Machine;2,00;1;0;11:43:45;11:44:00;NA;12-03-2026
107;mmWave;Machine;2,00;1;0;11:43:45;11:44:00;NA;12-03-2026
108;PIR;Machine;2,00;1;0;11:45:45;11:46:00;NA;12-03-2026
108;mmWave;Machine;2,00;1;0;11:45:45;11:46:00;NA;12-03-2026
109;PIR;Machine;2,00;1;0;11:50:55;11:51:10;NA;12-03-2026
109;mmWave;Machine;2,00;1;1;11:50:55;11:51:10;11:50:58;12-03-2026
110;PIR;Machine;2,00;1;0;11:55:30;11:55:45;NA;12-03-2026
110;mmWave;Machine;2,00;1;0;11:55:30;11:55:45;NA;12-03-2026
111;PIR;Machine;2,00;0;0;11:14:25;11:14:40;NA;12-03-2026
111;mmWave;Machine;2,00;0;0;11:14:25;11:14:40;NA;12-03-2026
112;PIR;Machine;2,00;0;0;11:17:45;11:18:00;NA;12-03-2026
112;mmWave;Machine;2,00;0;0;11:17:45;11:18:00;NA;12-03-2026
113;PIR;Machine;2,00;0;0;11:21:45;11:22:00;NA;12-03-2026
113;mmWave;Machine;2,00;0;0;11:21:45;11:22:00;NA;12-03-2026
114;PIR;Machine;2,00;0;0;11:24:10;11:24:25;NA;12-03-2026
114;mmWave;Machine;2,00;0;0;11:24:10;11:24:25;NA;12-03-2026
115;PIR;Machine;2,00;0;0;11:27:25;11:27:40;NA;12-03-2026
115;mmWave;Machine;2,00;0;0;11:27:25;11:27:40;NA;12-03-2026
116;PIR;Machine;2,00;0;0;11:32:30;11:32:45;NA;12-03-2026
116;mmWave;Machine;2,00;0;0;11:32:30;11:32:45;NA;12-03-2026
117;PIR;Machine;2,00;0;0;11:42:30;11:42:45;NA;12-03-2026
117;mmWave;Machine;2,00;0;0;11:42:30;11:42:45;NA;12-03-2026
118;PIR;Machine;2,00;0;0;11:44:45;11:45:00;NA;12-03-2026
118;mmWave;Machine;2,00;0;0;11:44:45;11:45:00;NA;12-03-2026
119;PIR;Machine;2,00;0;0;11:50:05;11:50:20;NA;12-03-2026
119;mmWave;Machine;2,00;0;0;11:50:05;11:50:20;NA;12-03-2026
120;PIR;Machine;2,00;0;0;11:54:35;11:54:50;NA;12-03-2026
120;mmWave;Machine;2,00;0;0;11:54:35;11:54:50;NA;12-03-2026
121;PIR;Human_walking;3,00;1;1;16:59:04;16:59:12;16:59:09;08-03-2026
121;mmWave;Human_walking;3,00;1;0;16:59:04;16:59:12;NA;08-03-2026
122;PIR;Human_walking;3,00;1;0;17:00:20;17:00:30;NA;08-03-2026
122;mmWave;Human_walking;3,00;1;0;17:00:20;17:00:30;NA;08-03-2026
123;PIR;Human_walking;3,00;1;1;17:01:01;17:01:10;17:01:04;08-03-2026
123;mmWave;Human_walking;3,00;1;1;17:01:01;17:01:10;17:01:04;08-03-2026
124;PIR;Human_walking;3,00;1;1;17:06:29;17:06:40;17:06:33;08-03-2026
124;mmWave;Human_walking;3,00;1;1;17:06:29;17:06:40;17:06:33;08-03-2026
125;PIR;Human_walking;3,00;1;1;17:08:07;17:08:14;17:08:12;08-03-2026
125;mmWave;Human_walking;3,00;1;1;17:08:07;17:08:14;17:08:11;08-03-2026
126;PIR;Human_walking;3,00;1;1;17:10:07;17:10:13;17:10:11;08-03-2026
126;mmWave;Human_walking;3,00;1;0;17:10:07;17:10:13;NA;08-03-2026
127;PIR;Human_walking;3,00;1;1;17:11:23;17:11:30;17:11:26;08-03-2026
127;mmWave;Human_walking;3,00;1;1;17:11:23;17:11:30;17:11:25;08-03-2026
128;PIR;Human_walking;3,00;1;1;17:13:00;17:13:10;17:13:03;08-03-2026
128;mmWave;Human_walking;3,00;1;0;17:13:00;17:13:10;NA;08-03-2026
129;PIR;Human_walking;3,00;1;1;17:14:15;17:14:20;17:14:18;08-03-2026
129;mmWave;Human_walking;3,00;1;0;17:14:15;17:14:20;NA;08-03-2026
130;PIR;Human_walking;3,00;1;1;17:18:40;17:18:47;17:18:43;08-03-2026
130;mmWave;Human_walking;3,00;1;1;17:18:40;17:18:47;17:18:43;08-03-2026
131;PIR;Human_walking;3,00;0;0;17:21:00;17:21:15;NA;08-03-2026
131;mmWave;Human_walking;3,00;0;0;17:21:00;17:21:15;NA;08-03-2026
132;PIR;Human_walking;3,00;0;0;17:21:30;17:21:45;NA;08-03-2026
